seq,name
14,SecurityQuestions
22,Users
20,SecurityAnswers
6,Addresses
8,Feedbacks
6,Cards
110,Challenges
378,Hints
46,Products
5,Baskets
8,BasketItems
1,Complaints
9,Recycles
46,Quantities
22,Wallets
3,Deliveries
10,Memories

