NAME                  INSTALLED                    FIXED IN         TYPE  VULNERABILITY        SEVERITY    EPSS          RISK   
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-7383        High        0.4% (27th)   0.3    
libc6                 2.41-12+deb13u2              2.41-12+deb13u3  deb   CVE-2026-4046        High        0.4% (27th)   0.3    
libc6                 2.41-12+deb13u2              (won't fix)      deb   CVE-2026-5928        High        0.3% (26th)   0.3    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-45445       High        0.3% (24th)   0.2    
tar                   4.4.19                       7.5.3            npm   GHSA-8qq5-rm4j-mr97  High        0.3% (22nd)   0.2    
tar                   6.2.1                        7.5.3            npm   GHSA-8qq5-rm4j-mr97  High        0.3% (22nd)   0.2    
cookie                0.4.2                        0.7.0            npm   GHSA-pxg6-pf52-xh8x  Low         0.7% (50th)   0.2    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-9076        High        0.3% (21st)   0.2    
ws                    8.17.1                       8.20.1           npm   GHSA-58qx-3vcg-4xpx  Medium      0.5% (37th)   0.2    
libc6                 2.41-12+deb13u2              2.41-12+deb13u3  deb   CVE-2026-4437        High        0.3% (20th)   0.2    
tar                   4.4.19                       7.5.10           npm   GHSA-qffp-2rhf-9h96  High        0.3% (19th)   0.2    
tar                   6.2.1                        7.5.10           npm   GHSA-qffp-2rhf-9h96  High        0.3% (19th)   0.2    
tar                   4.4.19                       7.5.8            npm   GHSA-83g3-92jg-28cx  High        0.3% (20th)   0.2    
tar                   6.2.1                        7.5.8            npm   GHSA-83g3-92jg-28cx  High        0.3% (20th)   0.2    
multer                1.4.5-lts.2                  2.2.0            npm   GHSA-72gw-mp4g-v24j  High        0.3% (19th)   0.2    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-34182       Critical    0.2% (12th)   0.2    
tar                   4.4.19                       7.5.11           npm   GHSA-9ppj-qmqm-q256  High        0.3% (16th)   0.2    
tar                   6.2.1                        7.5.11           npm   GHSA-9ppj-qmqm-q256  High        0.3% (16th)   0.2    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-42767       Medium      0.3% (26th)   0.2    
uuid                  8.3.2                        11.1.1           npm   GHSA-w5hq-g745-h8pq  Medium      0.3% (22nd)   0.2    
libc6                 2.41-12+deb13u2              (won't fix)      deb   CVE-2026-6238        Medium      0.3% (22nd)   0.2    
lodash                2.4.2                        4.18.0           npm   GHSA-f23m-r3pf-42rh  Medium      0.3% (21st)   0.2    
file-type             16.5.4                       21.3.1           npm   GHSA-5v7r-6r5c-r473  Medium      0.3% (24th)   0.2    
libc6                 2.41-12+deb13u2                               deb   CVE-2019-1010022     Negligible  3.2% (86th)   0.2    
libc6                 2.41-12+deb13u2                               deb   CVE-2019-1010024     Negligible  3.2% (86th)   0.2    
libc6                 2.41-12+deb13u2                               deb   CVE-2019-1010023     Negligible  3.1% (85th)   0.2    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-34181       High        0.2% (10th)   0.2    
libc6                 2.41-12+deb13u2              (won't fix)      deb   CVE-2026-5435        High        0.2% (9th)    0.1    
jws                   0.2.6                        3.2.3            npm   GHSA-869p-cjfg-cm3x  High        0.2% (9th)    0.1    
