id,title,severity,active,verified,is_mitigated,display_status,test,scan_type,tool,cwe,vuln_id_from_tool,created,date,sla_expiration_date,line,file_path,url
21,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,Active,2,Semgrep JSON Report,Semgrep,548,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,2026-04-14T11:35:32.401136Z,2026-04-14,2026-07-13,269,/src/server.ts,
22,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,Active,2,Semgrep JSON Report,Semgrep,548,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,2026-04-14T11:35:32.429743Z,2026-04-14,2026-07-13,273,/src/server.ts,
23,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,Active,2,Semgrep JSON Report,Semgrep,548,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,2026-04-14T11:35:32.462175Z,2026-04-14,2026-07-13,277,/src/server.ts,
24,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,Medium,True,False,False,Active,2,Semgrep JSON Report,Semgrep,548,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing,2026-04-14T11:35:32.490147Z,2026-04-14,2026-07-13,281,/src/server.ts,
25,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var,Medium,True,False,False,Active,2,Semgrep JSON Report,Semgrep,79,generic.html-templates.security.unquoted-attribute-var.unquoted-attribute-var,2026-04-14T11:35:32.518893Z,2026-04-14,2026-07-13,21,/src/views/dataErasureForm.hbs,
26,GHSA-2p57-rm9w-gvfp in ip:2.0.1,High,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-2p57-rm9w-gvfp,2026-04-14T11:35:36.295715Z,2026-04-14,2026-05-14,,/juice-shop/node_modules/ip/package.json,
27,GHSA-whpj-8f3w-67p5 in vm2:3.9.17,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-whpj-8f3w-67p5,2026-04-14T11:35:36.472544Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/vm2/package.json,
28,GHSA-g644-9gfx-q4q4 in vm2:3.9.17,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-g644-9gfx-q4q4,2026-04-14T11:35:36.565592Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/vm2/package.json,
29,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.1.0,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-c7hr-j4mj-j2w6,2026-04-14T11:35:36.651385Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/express-jwt/node_modules/jsonwebtoken/package.json,
30,GHSA-c7hr-j4mj-j2w6 in jsonwebtoken:0.4.0,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-c7hr-j4mj-j2w6,2026-04-14T11:35:36.754604Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/jsonwebtoken/package.json,
31,GHSA-cchq-frgv-rjh5 in vm2:3.9.17,Critical,True,False,False,Active,5,Anchore Grype,Grype,0,GHSA-cchq-frgv-rjh5,2026-04-14T11:35:36.844402Z,2026-04-14,2026-04-21,,/juice-shop/node_modules/vm2/package.json,
